Ensembl_ID,Gene_Symbol,HNC_WGCNA_Module,OPSCC_WGCNA_Module,VSCC_WGCNA_Module,HNC_log2FC,OPSCC_log2FC,VSCC_log2FC,Stouffer_Score,SD,Included_in_35_Gene_Signature
ENSG00000108309,RUNDC3A,turquoise,grey,grey,-4.14,-0.21,-0.01,-10.43,8.27,No
ENSG00000139629,GALNT6,turquoise,brown,grey,-3.36,-2.2,-0.01,-10.42,5.58,No
ENSG00000117748,RPA2,Not in network,Not in network,brown,1.76,0.83,0.9,10.12,3.84,No
ENSG00000211625,IGKV3D-20,blue,brown,grey,4.55,4.17,0,10.1,5.31,No
ENSG00000039600,SOX30,turquoise,black,green,5.58,0.06,0.02,10.07,7.81,No
ENSG00000066923,STAG3,turquoise,black,green,4.58,2.64,0.02,9.99,5.57,No
ENSG00000159251,ACTC1,green,turquoise,turquoise,-7.64,-0.01,0.01,-9.97,7.47,No
ENSG00000187554,TLR5,blue,brown,Not in network,2.08,1.23,0.48,9.72,4.92,No
ENSG00000006327,TNFRSF12A,turquoise,brown,grey,-2.89,-0.71,0,-9.6,7.48,No
ENSG00000139211,AMIGO2,turquoise,turquoise,grey,-4.98,-0.38,-0.02,-9.57,6.73,No
ENSG00000130558,OLFM1,brown,brown,green,4.55,1.82,0.06,9.51,5.28,No
ENSG00000110104,CCDC86,Not in network,Not in network,Not in network,-1.68,-0.79,0,-9.5,6.47,No
ENSG00000159516,SPRR2G,yellow,green,grey,-6.32,-3.18,0,-9.47,5.86,No
ENSG00000132016,BRME1,turquoise,black,green,2.98,1.7,1.18,9.38,3.67,No
ENSG00000154764,WNT7A,turquoise,black,grey,-6.83,-0.07,-0.01,-9.37,8.03,No
ENSG00000087301,TXNDC16,turquoise,Not in network,Not in network,2.43,0.16,0.15,9.33,7.25,No
ENSG00000186377,CYP4X1,turquoise,turquoise,green,3.57,1.09,1.8,9.31,3.53,No
ENSG00000165810,BTNL9,brown,brown,turquoise,6.39,0.14,0.01,9.29,7.54,No
ENSG00000185946,RNPC3,Not in network,Not in network,Not in network,1.55,0.86,0,9.25,5.65,No
ENSG00000102043,MTMR8,turquoise,Not in network,Not in network,3.37,1.65,0.03,9.21,5.15,No
ENSG00000085733,CTTN,turquoise,black,grey,-2.06,-1.8,-1.81,-9.2,3.8,No
ENSG00000211598,IGKV4-1,blue,brown,red,5.02,3.31,0.01,8.99,4.19,No
ENSG00000139438,FAM222A,brown,black,Not in network,2.32,1.74,0.03,8.97,3.58,No
ENSG00000168003,SLC3A2,blue,turquoise,Not in network,-2.14,-0.7,-0.02,-8.95,6.82,No
ENSG00000198963,RORB,brown,brown,grey,4.53,1.71,0.01,8.88,5.81,No
ENSG00000158023,CFAP251,turquoise,turquoise,Not in network,-2.25,-0.2,-0.03,-8.86,7.66,No
ENSG00000156414,TDRD9,grey,brown,grey,3.77,5.28,0.01,8.8,3.62,No
ENSG00000128422,KRT17,blue,yellow,grey,-3.74,-1.28,-0.01,-8.75,6.31,No
ENSG00000141956,PRDM15,Not in network,Not in network,Not in network,1.53,0.75,0.32,8.7,4.37,No
ENSG00000236548,RNF217-AS1,turquoise,turquoise,Not in network,-4.06,-0.09,0,-8.68,7.72,No
ENSG00000172137,CALB2,blue,turquoise,Not in network,-4.59,-0.06,-0.03,-8.67,5.24,No
ENSG00000129437,KLK14,yellow,green,grey,-4.7,-3.21,0,-8.65,4.92,No
ENSG00000180011,PTGR3,Not in network,Not in network,Not in network,1.78,0.17,-0.03,8.62,8.26,No
ENSG00000092470,WDR76,Not in network,black,green,1.89,0.24,0.07,8.37,6.13,No
ENSG00000276023,DUSP14,turquoise,Not in network,Not in network,-2.27,-0.15,0.01,-8.35,7.88,No
ENSG00000175087,PDIK1L,Not in network,Not in network,Not in network,1.91,0.36,0.13,8.34,5.45,No
ENSG00000196074,SYCP2,turquoise,black,green,3.96,0.1,2.11,8.31,4.37,No
ENSG00000123989,CHPF,turquoise,turquoise,grey,-2.85,-0.26,-0.03,-8.24,6.26,No
ENSG00000167779,IGFBP6,turquoise,turquoise,grey,-4.34,-2.1,-0.01,-8.24,4.44,No
